Samples	input	both_kept	fwd_only	rev_only	dropped	human_GRch38	phix174	host	nonhost
SRC.735686	5016832	4926203	22646	3655	64328	4468186	0	4468186	225097
SRC.735689	521745	512466	1776	312	7191	265400	0	265400	227497
SRC.735691	3735099	3707153	9485	1441	17020	243997	0	243997	3388850
SRC.735693	3396940	3351667	7282	1200	36791	501076	0	501076	2780685
SRC.735695	4714035	4676803	14203	2124	20905	10427	0	10427	4548898
SRC.735696	2976480	2920568	7648	1499	46765	1061407	1	1061408	1781916
SRC.735697	2915061	2870907	5055	683	38416	37096	1	37097	2698053
SRC.735698	1072444	1054585	5162	952	11745	986698	0	986698	1218
SRC.735700	2463436	2438330	12005	2418	10683	2282160	0	2282160	1801
SRC.735726	3058700	2990141	13018	2077	53464	2850625	0	2850625	9040
SRC.735729	2899917	2825987	14813	2811	56306	2699230	0	2699230	19093
SRC.735731	2458553	2411072	16485	3549	27447	327534	0	327534	2055781
SRC.735733	1207991	1190884	5492	1629	9986	29987	1	29988	1145441
SRC.735735	1170180	1118250	4212	883	46835	980373	0	980373	99031
SRC.735737	3521420	3456060	31498	14239	19623	8586	2	8588	3436157
SRC.735748	4611676	4563303	21622	3668	23083	4268500	0	4268500	5893
SRC.735749	3354867	3287953	14125	2389	50400	3115605	1	3115606	7781
SRC.735752	3258164	3203432	13195	2754	38783	3008329	0	3008329	4424
SRC.735753	3191199	3156217	14136	2721	18125	2973232	0	2973232	5194
SRC.735754	3086675	3048878	14623	2774	20400	2845758	2	2845760	2629
SRC.735755	3551207	3493341	20831	4798	32237	1894543	1	1894544	1484042
SRC.735758	2764728	2733060	12619	2298	16751	2551044	0	2551044	3012
SRC.735759	2774680	2743501	9847	2142	19190	2606654	1	2606655	3191
SRC.738089	880560	868741	5039	1123	5657	2019	0	2019	863180
SRC.738090	4159750	4106659	22451	5172	25468	36975	1	36976	4025525
SRC.738096	3102798	3046045	31852	12040	12861	109154	0	109154	2921646
SRC.738101	1727265	1704100	7282	1220	14663	1622790	0	1622790	2929
SRC.738102	4142678	4038106	17683	3197	83692	3406342	0	3406342	478863
SRC.738103	2611343	2563131	11170	2173	34869	2334756	1	2334757	104877
SRC.738104	2763618	2718103	22898	7643	14974	35566	2	35568	2653319
SRC.738108	4121808	4078053	24991	5258	13506	10240	0	10240	4032186
SRC.738109	2343469	2316638	13322	2986	10523	4731	1	4732	2300924
SRC.738113	1528592	1510331	11037	2393	4831	19407	1	19408	1487664
SRC.738121	4553443	4510408	18629	3914	20492	47003	3	47006	4391454
SRC.738126	2266897	2227300	20668	7089	11840	62196	3	62199	2153462
SRC.738127	2039541	2007783	18708	5232	7818	70891	0	70891	1925287
SRC.738128	871393	844937	3284	629	22543	806671	0	806671	4226
SRC.738130	1830260	1794053	7391	1415	27401	1706584	0	1706584	5570
SRC.738132	508844	500442	2638	397	5367	457783	0	457783	9748
SRC.738134	3889385	3837441	15665	2814	33465	2801410	0	2801410	847701
SRC.738135	4940979	4888762	20404	3210	28603	3087875	0	3087875	1568679
SRC.738137	2881802	2846454	20957	2905	11486	2539985	0	2539985	82393
SRC.738139	3533804	3490513	15955	3301	24035	2475572	0	2475572	824256
SRC.738140	2882735	2856905	12375	2677	10778	66722	0	66722	2769297
SRC.738141	2595175	2563233	17395	6716	7831	4383	0	4383	2544393
SRC.738142	3054877	3021193	19772	5686	8226	3149	3	3152	3003773
SRC.738143	2509150	2480805	15477	4248	8620	4975	0	4975	2465185
SRC.738146	2833685	2794877	21128	4530	13150	233359	1	233360	2535260
SRC.738147	2370862	2322748	36703	5200	6211	4809	0	4809	2310423
SRC.738148	2082637	2051547	18452	5040	7598	4419	1	4420	2035709
SRC.738149	1844523	1815402	14931	6426	7764	2298	0	2298	1802647
SRC.738150	2832885	2792883	23508	6995	9499	1626	0	1626	2775616
SRC.738151	3364685	3311133	15469	2891	35192	3109936	1	3109937	7019
SRC.738152	1829218	1796849	17370	5071	9928	28440	0	28440	1761480
SRC.738153	2017312	1973170	23856	15271	5015	1238	4	1242	1964750
SRC.738154	2502231	2467037	20794	5590	8810	841	0	841	2457889
SRC.738155	2397408	2362911	21943	5389	7165	3262	0	3262	2350131
SRC.738156	2389081	2346775	24860	8578	8868	4263	1	4264	2333059
SRC.738157	2442541	2406798	15423	6595	13725	5754	1	5755	2393756
SRC.738160	4038525	3980430	14601	3098	40396	721786	0	721786	3194972
SRC.738161	3683562	3629527	15994	4719	33322	423675	1	423676	3157554
SRC.738162	2960807	2921199	12583	4184	22841	359637	0	359637	2520059
SRC.738163	2425177	2387063	19679	6083	12352	51518	0	51518	2326629
SRC.738164	3403524	3352102	26129	6425	18868	64400	3	64403	3279915
SRC.738165	2649431	2606889	26113	5104	11325	34397	2	34399	2565947
SRC.738166	3745154	3683714	28899	8050	24491	9833	2	9835	3667220
SRC.738167	4881524	4806746	45062	13407	16309	6325	1	6326	4792131
SRC.738169	2025556	1984251	22578	12049	6678	2731	2	2733	1976965
SRC.738170	1859934	1828478	20407	3538	7511	1581	3	1584	1822340
SRC.738171	3108612	3076194	13946	4198	14274	2059	0	2059	3060463
SRC.738178	2185698	2162726	11173	2104	9695	2017337	1	2017338	1866
SRC.738179	3383942	3348117	17156	3155	15514	3121196	0	3121196	29995
SRC.738180	2684916	2645887	11458	2634	24937	2481229	1	2481230	46098
SRC.738181	2420941	2396823	12341	2300	9477	2249765	1	2249766	4304
SRC.738182	2434219	2402029	10493	1819	19878	2268664	1	2268665	13916
SRC.738183	3162941	3121194	13542	2509	25696	2967504	0	2967504	8285
SRC.738184	2475413	2446575	11956	2156	14726	2275624	0	2275624	3450
SRC.738185	2632140	2596547	12337	2334	20922	2402862	0	2402862	14483
SRC.738187	2260027	2233658	12670	2436	11263	2069655	0	2069655	3438
SRC.738189	2117480	2088632	16968	5274	6606	1860	0	1860	2063889
SRC.738191	775800	761952	6365	2847	4636	1503	0	1503	751078
SRC.738197	4397291	4328576	20169	6170	42376	156001	0	156001	4151602
SRC.738201	1251005	1228331	13927	4369	4378	1475	2	1477	1222557
SRC.738202	2964469	2918517	24999	7928	13025	6684	1	6685	2901769
SRC.738209	2436203	2416649	9062	1765	8727	25714	0	25714	2371628
SRC.738213	1750068	1725352	13721	4773	6222	12089	1	12090	1702170
SRC.738215	2838091	2796677	27206	8175	6033	5596	0	5596	2778761
SRC.738217	2274462	2242085	17659	4356	10362	18715	0	18715	2212524
SRC.738218	4720717	4645801	40071	11874	22971	1030916	1	1030917	3526528
SRC.738222	1887296	1857732	15248	3552	10764	2753	0	2753	1846120
SRC.738225	1530318	1505682	12326	2985	9325	602320	0	602320	860704
SRC.738226	2619311	2571977	20479	6849	20006	239126	0	239126	2307948
SRC.738229	2119949	2089785	15141	5293	9730	16008	0	16008	2064346
SRC.738231	401281	394913	1956	295	4117	371725	0	371725	696
SRC.738233	416134	409209	1805	295	4825	383780	0	383780	5011
SRC.738234	839617	825102	3967	588	9960	769796	1	769797	15591
SRC.738236	2760926	2712032	26901	9589	12404	37132	1	37133	2651127
SRC.738237	982516	965813	9405	2682	4616	1005	1	1006	955539
SRC.738239	2912224	2881440	16011	3594	11179	7018	1	7019	2849528
