Samples	input	both_kept	fwd_only	rev_only	dropped	human_GRch38	phix174	host	nonhost
Aerobic12	3336	3055	241	8	32	275	0	275	2759
Aerobic13	286	166	105	6	9	0	0	0	163
Anaerobic12	155687	147032	8369	146	140	9629	0	9629	136364
Anaerobic13	327	211	104	0	12	1	0	1	207
DNAfreewater1.20210721	2226	1898	286	5	37	138	0	138	1742
DNAfreewater3.20210721	1980	1609	329	4	38	127	0	127	1465
DNAfreewater5.20210721	6229	5707	376	10	136	1134	0	1134	4476
Extractblankswab1.20210721	3093126	2950848	135000	1457	5821	293	0	293	2939601
Extractblankswab3.20210721	3442	3097	218	11	116	394	0	394	2667
Extractblankswab5.20210721	7482	6901	463	17	101	1604	0	1604	5175
Extractemptywell1.20210721	1696	1386	276	5	29	76	0	76	1299
Extractemptywell3.20210721	3907	3595	288	5	19	138	0	138	3431
Extractemptywell5.20210721	4292	3998	246	2	46	857	0	857	3049
SterileAerobic14	402	279	107	5	11	1	0	1	275
SterileAnaerobic14	317	211	93	3	10	2	0	2	205
inf124Cat1T9n1run5	5431009	5137355	282182	4147	7325	8534	0	8534	5108496
inf125Cat1T9n1run5	7738090	7293724	427533	7895	8938	3060	1	3061	7262467
inf127Cat1T10n1run5	5657820	5311145	335587	4740	6348	5807	0	5807	5279088
inf127Cat1T11n1run5	6801931	6382986	402019	4645	12281	2951	0	2951	6344880
inf127Cat1T9n1run5	6144260	5817643	309354	4945	12318	6427	0	6427	5783923
inf128Cat3T11n1run5	7296061	6894323	386536	5088	10114	16449	0	16449	6853003
inf129Cat1T9n1run5	5406963	5084554	308282	5028	9099	8492	1	8493	5029372
inf132Cat3T10n1run5	5692668	5387718	293894	3735	7321	6366	0	6366	5363142
inf132Cat3T11n1run5	6142139	5795110	334735	4194	8100	595773	0	595773	5152575
inf132Cat3T9n1run5	6195309	5843085	339233	4808	8183	20777	0	20777	5800420
inf133Cat3T10n1run5	5672281	5372053	288869	2735	8624	363	0	363	5356848
inf133Cat3T9n1run5	6809849	6446834	349324	4474	9217	4315	1	4316	6425673
inf134Cat1T10n1run5	7335069	6919737	402062	4771	8499	2838	0	2838	6896149
inf134Cat1T10n2run5	6660408	6241828	406487	6257	5836	217925	1	217926	5985104
inf134Cat1T8n1run5	8507562	7969640	520662	4844	12416	23672	1	23673	7919234
inf136Cat1T10n1run5	5296514	5036851	242464	2733	14466	3531	0	3531	5005736
inf136Cat1T12n1run5	5062210	4827741	218091	2549	13829	3058	0	3058	4795556
inf136Cat1T9n1run5	5980538	5689378	274776	2935	13449	4068	0	4068	5649921
inf139Cat3T7n1run5	6217973	5875309	325971	3235	13458	32016	0	32016	5813511
inf139Cat3T9n1run5	5365654	5037616	317158	3539	7341	51901	0	51901	4957125
inf140Cat3T10n1run5	5499974	5190072	299623	4183	6096	9554	0	9554	5155651
inf140Cat3T11n1run5	5037336	4767926	259255	3499	6656	12227	0	12227	4732837
inf140Cat3T12n1run5	4705946	4462273	236469	2754	4450	4075	0	4075	4439494
inf140Cat3T9n1run5	7301541	6892622	394081	5546	9292	3890	0	3890	6858481
inf141Cat2T10n1run5	6443511	6083456	350567	3583	5905	2313	1	2314	6036499
inf141Cat2T11n1run5	6559185	6137245	409173	4489	8278	9255	1	9256	6100631
inf141Cat2T9n1run5	5339407	5041045	285569	4298	8495	2746	0	2746	5020512
inf141Cat2T9n2run5	5021739	4724623	287568	4271	5277	318	0	318	4709720
inf142Cat3T10n1run5	7486478	7067388	406819	4888	7383	45858	0	45858	6986756
inf142Cat3T11n1run5	5214063	4924738	280351	3252	5722	3129	0	3129	4910498
inf142Cat3T9n1run5	6553150	6199537	340299	4345	8969	681	1	682	6177594
inf144Cat3T10n1run5	4843761	4586451	246371	3340	7599	1893	0	1893	4543069
inf144Cat3T11n1run5	6296223	5959428	317495	4582	14718	8373	0	8373	5913659
inf144Cat3T11n2run5	6787749	6416546	351468	5567	14168	3503	0	3503	6368132
inf145Cat1T9n1run5	4166923	3924479	229743	2845	9856	1569	0	1569	3886919
inf150Cat3T10n1run5	4271015	4036109	224725	2769	7412	15836	0	15836	3996504
inf150Cat3T11n1run5	4116874	3874802	233750	2850	5472	51336	1	51337	3785306
inf150Cat3T12n1run5	5353162	5085876	252172	2730	12384	9310	0	9310	5011693
inf150Cat3T9n1run5	4676658	4399655	262949	2949	11105	27438	0	27438	4332050
inf153Cat3T10n1run5	5637382	5362346	255955	3627	15454	18834	0	18834	5274905
inf153Cat3T9n1run5	6247460	5907063	328027	3850	8520	12941	0	12941	5874046
inf154Cat2T10n1run5	6079696	5730975	338253	4309	6159	2224	0	2224	5674366
inf154Cat2T11n1run5	5144961	4853916	277039	3461	10545	46680	0	46680	4760878
inf154Cat2T9n1run5	5667373	5360771	290877	4657	11068	1297	0	1297	5340407
inf156Cat2T10n1run5	6123728	5810573	299277	3761	10117	3277	0	3277	5793015
inf156Cat2T11n1run5	6655877	6291475	353929	4801	5672	1361	0	1361	6275361
inf156Cat2T9n1run5	5550206	5253752	284927	3787	7740	6063	0	6063	5234632
inf158Cat3T10n1run5	5781350	5465849	300955	4101	10445	10347	0	10347	5421314
inf158Cat3T9n1run5	5684501	5373769	296547	4018	10167	88570	0	88570	5234935
inf160Cat3T10n1run5	5349022	5042013	295800	3783	7426	2713	0	2713	5018929
inf160Cat3T12n1run5	5193463	4895830	282733	3812	11088	6406	0	6406	4866649
inf160Cat3T2n1run5	5126055	4801442	313936	3515	7162	10559	0	10559	4760858
inf160Cat3T9n1run5	5799748	5431536	354994	4184	9034	53769	0	53769	5354254
inf163Cat3T10n1run5	4867159	4627446	225831	4253	9629	793	0	793	4612499
inf163Cat3T12n1run5	5057700	4818122	223786	3314	12478	4609	0	4609	4798272
inf163Cat3T2n1run5	6712711	6341180	350667	4993	15871	32783	0	32783	6279092
inf163Cat3T9n1run5	7066951	6675770	371216	5009	14956	15168	0	15168	6619054
inf164Cat3T10n1run5	5098749	4824301	261454	2519	10475	9239	0	9239	4799549
inf164Cat3T10n2run5	1432	1112	271	9	40	9	0	9	1095
inf164Cat3T11n1run5	6669721	6331339	323854	5272	9256	22273	0	22273	6293457
inf165Cat3T10n1run5	6170434	5815322	339715	4584	10813	5756	0	5756	5784101
inf165Cat3T11n1run5	5816465	5492592	306555	4185	13133	20618	0	20618	5448196
inf165Cat3T12n1run5	5840840	5513433	314023	3083	10301	2650	1	2651	5468599
inf165Cat3T14n1run5	5986731	5613267	355587	3842	14035	510	1	511	5587901
inf165Cat3T16n1run5	6444476	6092213	328549	4234	19480	677	0	677	6067768
inf165Cat3T2n1run5	5905505	5640175	243477	4292	17561	23800	0	23800	5593760
inf165Cat3T9n1run5	5161691	4933659	216132	3410	8490	10045	0	10045	4905914
inf170Cat3T10n1run5	6738098	6356519	366250	4047	11282	60668	0	60668	6280282
inf170Cat3T2n1run5	6388174	5997412	370140	5574	15048	2544	0	2544	5941017
inf170Cat3T3n1run5	4866239	4590160	259299	4005	12775	7342	0	7342	4541242
inf170Cat3T6n1run5	7462802	7049919	397867	5260	9756	3254	1	3255	7025569
inf170Cat3T8n1run5	6876297	6513659	347600	4780	10258	222622	0	222622	6263616
inf170Cat3T9n1run5	6667395	6319566	332084	4840	10905	6729	0	6729	6303152
inf171Cat1T2n1run5	7730627	7405023	304463	2085	19056	32846	0	32846	7197738
inf171Cat1T9n1run5	5789290	5511305	264903	3183	9899	80311	0	80311	5372418
inf172Cat3T10n1run5	8680005	8223956	439285	5875	10889	1416	0	1416	8181034
inf172Cat3T11n1run5	3765263	3599325	132958	2089	30891	13947	0	13947	3566696
